,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar (Malagasy),Malaysia,Mali,Mauritania,Mexico,Moldova,Morocco,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,North Macedonia,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-01-31,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-02-28,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-03-31,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-04-30,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-05-31,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-06-30,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-07-31,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-08-31,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-09-30,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
1989-10-31,8.549660381553739,0.0,0.0,7.91644286012226,0.0,0.0,0.0,0.0,0.0,0.0,4.406719247264253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230481447578482,0.0,0.0,0.0,7.8636512654486515,5.953243334287785,3.4011973816621555,0.0,0.0,0.0,3.367295829986474,0.0,0.0,7.585788821732034,0.0,9.956364592136895,0.0,0.0,1.3862943611198906,0.0,4.727387818712341,0.0,0.0,0.0,3.8918202981106265,0.0,1.791759469228055,0.0,0.0,4.543294782270004,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,3.4339872044851463,7.001245622069476,0.0,3.828641396489095,0.0,0.0,0.0,0.0,4.700480365792417,1.3862943611198906,0.0,5.337538079701318,6.602587892189336,0.0,0.0,0.0,5.3706380281276624,5.14166355650266,0.0,0.0,4.74493212836325,6.825460036255307,5.017279836814924,7.19668657083435,6.831953565565855,0.0,0.0,6.1070228877422545,4.77912349311153,0.0,0.0,4.804021044733257,0.0,0.0,0.0,6.960347729101308,6.456769655572163,0.0,2.8903717578961645,7.149916836132109,8.111928063310739,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,6.289715570908998,6.932447891572509,0.0,0.0,3.7376696182833684,0.0,0.0,0.0,4.477336814478207,3.6375861597263857
